"block";"ID";"deg";"correct";"zaehler_packetID";"durchgang";"MeanAmplitude";"MaxRangeX";"MaxRangeY";"SwayVelocity";"reactionTime";"outlier"
"visual";"id59";45;1;11;2;1.21999792878213;4.97881;3.77033;550.549804595358;1169;FALSE
"visual";"id68";90;1;27;10;2.75175672683122;8.5161;9.04058;388.604141023808;1874;FALSE
"visualStop";"id24";180;1;23;8;2.60379650568134;4.8828;10.83253;168.764289746254;2653;FALSE
"mental";"id40";135;1;19;6;1.8486547393951;6.0607;9.00506;585.073736288032;1101;FALSE
"visual";"id143";90;1;27;10;1.80527959693202;4.5646;6.07566;436.833656704609;1251;FALSE
"mental";"id59";90;1;9;1;1.64497126226749;3.9805;8.005094;578.065091636856;1575;FALSE
"visualStop";"id101";180;1;27;10;1.90500755642035;6.5116;6.71523;550.011361653642;2849;FALSE
"visualStop";"id22";135;1;13;3;1.25429003078024;4.938;6.485842;724.999060881209;1693;FALSE
"visual";"id76";90;1;19;6;1.00361978147609;2.9915;4.93135;667.533846688544;1234;FALSE
"visualStop";"id7";180;1;29;11;1.27439188510113;4.2225;5.83036;534.254265543803;2476;FALSE
"mental";"id144";135;1;13;3;1.88763452426796;5.0794;6.62889999999999;468.438788929052;1544;FALSE
"visual";"id109";90;1;31;12;2.88804542938421;5.0226;11.2855;249.826079762237;1521;FALSE
"mental";"id55";180;1;17;5;0.706787175413671;2.2142;3.19568;196.138014350378;1528;FALSE
"mental";"id37";45;1;11;2;1.84306259450249;5.8535;6.959204;752.677818068327;1558;FALSE
"mental";"id121";45;1;31;12;2.5592135580623;7.6338;8.738577;233.519110449832;1352;FALSE
"mental";"id134";180;1;17;5;1.38430408415596;2.1458;5.79535;233.037531624559;1817;FALSE
"visual";"id14";90;1;25;9;1.70555292708059;2.44052;6.8589;401.188626938804;1862;FALSE
"visual";"id53";180;1;13;3;2.93499560572581;10.0326;9.58496;671.686614328192;4729;FALSE
"mental";"id45";135;1;15;4;6.73990370666191;21.7435;8.3125;604.625005803076;4463;FALSE
"mental";"id85";135;1;11;2;3.61623989012304;12.0236;12.65041;838.344780586678;7281;TRUE
"visualStop";"id29";90;1;19;6;1.85947168326077;5.7556;6.51966;588.428284162401;1642;FALSE
"visualStop";"id22";180;1;19;6;3.94756721740149;9.3884;12.67158;679.330657274948;2097;FALSE
"visual";"id18";135;1;15;4;3.38523682757827;7.5974;12.50673;427.67761237047;3559;FALSE
"mental";"id131";180;1;31;12;1.33244073525357;5.7307;3.7762;459.812478400868;1471;FALSE
"mental";"id44";90;1;29;11;1.17667346839764;4.1608;4.69021;532.764655715299;1102;FALSE
"visual";"id111";90;1;19;6;1.73844325632241;3.5371;7.89294;797.202256061135;1533;FALSE
"visual";"id108";180;1;15;4;1.7699542303437;3.5445;7.66616;644.761243750397;1827;FALSE
"visualStop";"id135";45;1;19;6;2.18784160330948;5.527;8.11982;641.537324864754;2295;FALSE
"visualStop";"id80";135;1;21;7;2.01417838622341;5.6874;6.58212;184.24645356722;1304;FALSE
"mental";"id101";45;1;29;11;1.86658275441737;4.978;7.94515;568.572510367852;2351;FALSE
"mental";"id118";135;1;27;10;3.12127186199305;10.9164;4.919814;236.881016338019;2729;FALSE
"visual";"id13";180;1;11;2;3.21931789734527;6.9254;9.31375;184.371051403651;3852;FALSE
"visual";"id31";180;1;27;10;1.58936824881931;4.2771;7.90236;721.706236012307;1307;FALSE
"visualStop";"id116";90;1;19;6;4.14055548985222;10.3079;10.488339;765.819238975969;2076;FALSE
"visualStop";"id76";135;1;25;9;1.72704054443055;7.2768;6.27626;673.547708727477;2334;FALSE
"visual";"id93";45;1;9;1;3.64597943581047;6.4105;10.93807;467.278064009593;1757;FALSE
"visualStop";"id25";135;1;9;1;1.82998542413924;5.44828;7.60994;268.620285101334;1880;FALSE
"visualStop";"id111";135;1;29;11;2.10373346405535;4.1299;9.88527;798.743171260089;1477;FALSE
"mental";"id144";180;1;31;12;0.707481299788908;2.3735;2.87166;231.646030171842;2419;FALSE
"visual";"id36";90;1;17;5;5.30075183454921;16.11112;19.3586;202.609138889147;1820;FALSE
"visualStop";"id134";90;1;13;3;1.33748509471877;4.19419;4.13649;246.258059986843;1302;FALSE
"visual";"id68";90;1;27;10;2.21132396171686;7.1014;3.68927;374.232534270491;1559;FALSE
"visual";"id122";135;1;15;4;1.61796136599605;6.78246;4.82839;566.905727334521;1949;FALSE
"visual";"id76";180;1;9;1;2.79345562240032;7.6503;9.20724;637.16016003857;2168;FALSE
"visualStop";"id74";45;1;29;11;3.07590978785856;7.391;8.52718;547.558383558033;1256;FALSE
"visualStop";"id146";180;1;15;4;5.37620833182968;7.52742;15.65085;234.797618361002;3663;FALSE
"visualStop";"id121";45;1;25;9;2.94036009728309;6.8197;9.54433;280.759504077112;1648;FALSE
"mental";"id17";45;1;29;11;1.13391784391331;5.7289;3.73579;497.63908770338;1787;FALSE
"visualStop";"id58";180;1;13;3;2.36104853653377;3.9719;10.32196;640.795280906536;2169;FALSE
"mental";"id73";180;1;29;11;0.723388494934982;2.04235;4.22876;204.937807249328;1847;FALSE
"visualStop";"id60";90;1;29;11;1.90706750135559;4.7925;6.5575;210.748559784247;1979;FALSE
"visual";"id118";135;1;25;9;3.62589378626104;9.3539;8.88183;244.592393450397;1568;FALSE
"visual";"id102";135;1;31;12;1.97981188484537;4.1831;6.417;230.101016706538;1335;FALSE
"visualStop";"id84";90;1;17;5;1.17637253234021;4.1535;5.55804;802.04417138564;1475;FALSE
"visual";"id94";90;1;9;1;0.82961392787545;2.92251;2.83265;203.317000227866;1191;FALSE
"visual";"id15";45;1;27;10;1.71510639442042;4.87771;7.578238;568.856921713654;1449;FALSE
"visualStop";"id10";90;1;27;10;1.60176271211889;4.4455;5.39182;327.33149255406;1290;FALSE
"mental";"id146";135;1;31;12;6.35220626795553;13.064213;23.60978;234.244764442587;5148;FALSE
"visualStop";"id31";45;1;17;5;2.26868722148012;5.4906;10.04598;750.371936125709;1237;FALSE
"visualStop";"id13";180;1;21;7;4.6675718058033;10.8076;16.33751;173.879443865352;5392;TRUE
"visualStop";"id125";45;1;19;6;4.14836502498569;8.9191;11.024508;422.252743206633;1622;FALSE
"visualStop";"id9";180;1;11;2;1.10477484648208;3.6663;3.799744;204.699985602753;2626;FALSE
"visualStop";"id20";45;1;23;8;1.65611739244406;2.3221;6.77437;287.033198926497;1222;FALSE
"visual";"id1";135;1;15;4;1.74345296548684;7.8577;7.50557;504.614840992748;1855;FALSE
"visual";"id15";180;1;13;3;2.72112216311513;8.31543;8.61753;592.040034864649;3247;FALSE
"mental";"id70";135;1;15;4;4.64830372021294;16.55453;5.8378;693.874499090298;1157;FALSE
"visual";"id37";180;1;19;6;0.951387120316625;3.1868;4.94131;738.202914502743;1887;FALSE
"mental";"id28";180;1;17;5;1.29679600996751;5.6902;4.31246;205.779030875908;2937;FALSE
"visual";"id15";45;1;21;7;1.75833668761409;6.27879;7.12233;575.21923482789;2590;FALSE
"visualStop";"id62";90;1;21;7;1.48496216219866;6.849699;4.43719;524.44354559806;1702;FALSE
"visual";"id121";180;1;9;1;2.23477870194009;8.17230000000001;8.69493;269.887981809464;2692;FALSE
"visual";"id85";90;1;31;12;1.5753668144665;3.8186;7.60485;840.4356917712;1706;FALSE
"mental";"id118";90;1;15;4;6.58897929826894;17.7569;14.92627;233.333449105324;3337;FALSE
"visualStop";"id68";180;1;23;8;3.05029208913706;4.5362;10.588576;397.440154306243;1777;FALSE
"visual";"id19";180;1;27;10;0.729345441175736;2.4418;3.46918;244.434540820327;1572;FALSE
"visual";"id144";45;1;25;9;1.25323428706802;2.4889;3.913236;237.42375177047;1479;FALSE
"visual";"id64";180;1;17;5;5.33126529607228;10.69041;18.55968;442.160742643132;3532;FALSE
"visual";"id102";180;1;13;3;2.93148330103641;4.9633;11.77568;188.017249185659;2482;FALSE
"visual";"id60";180;1;27;10;2.81921163013758;9.8278;5.197;207.507818443481;2183;FALSE
"visualStop";"id120";180;1;15;4;1.0747850992695;4.71524;3.38085;426.674794027407;1746;FALSE
"visualStop";"id30";45;1;25;9;6.78865640131772;20.6618;14.997;181.922892264367;3152;TRUE
"visual";"id3";135;1;17;5;1.83091581377744;6.9587;6.54962;712.840053052639;1923;FALSE
"visualStop";"id145";90;1;15;4;2.39594003859337;7.8901;4.46478;434.696979666204;1778;FALSE
"visualStop";"id32";135;1;9;1;2.99882158779676;10.9375;6.70455;698.714191641359;1623;FALSE
"mental";"id106";90;1;25;9;1.5039445933872;5.0354;6.23275;770.319543780769;2311;FALSE
"mental";"id110";90;1;31;12;1.13964409407611;3.5941;3.85419;219.60216242175;1338;FALSE
"mental";"id9";45;1;29;11;1.63940787837968;2.4937;5.23058;234.478662089312;1334;FALSE
"visual";"id150";180;1;31;12;3.72839881324735;7.4236;13.1967;304.803957087917;1911;FALSE
"visualStop";"id25";90;1;21;7;1.99681112956934;3.8621;8.32593;275.158488134376;1686;FALSE
"visualStop";"id56";135;1;25;9;3.04010677398115;6.6486;13.08964;506.54117882743;3745;FALSE
"mental";"id25";45;1;29;11;2.81384281146646;3.77918;9.45643;294.451459894362;2127;FALSE
"visualStop";"id31";90;1;21;7;3.822584791575;6.8299;13.83308;734.087600685375;1471;FALSE
"visualStop";"id14";135;1;19;6;1.71615958272326;5.74398;5.159733;398.920048896529;1771;FALSE
"mental";"id98";180;1;9;1;0;0;0;0;2808;FALSE
"visualStop";"id24";45;1;19;6;0.734146494166932;2.2543;2.316883;154.10301648419;1575;FALSE
"visualStop";"id14";135;1;13;3;1.48446040952429;6.51339;5.5038;398.323557283124;1786;FALSE
"visualStop";"id50";45;1;25;9;0.856292099143746;1.8178;3.47448;255.451413925427;1219;FALSE
"visualStop";"id125";45;1;19;6;2.00969027719503;5.0402;6.68925;422.157711336133;1556;FALSE
"visualStop";"id1";135;1;17;5;2.69650237683517;9.1177;3.21701;483.952136337781;1768;FALSE
"visual";"id76";180;1;11;2;1.09546292431442;4.75345;5.54678;647.568888527953;1811;FALSE
"mental";"id138";90;1;15;4;3.98967317674053;7.750582;14.86931;706.071221724775;2711;FALSE
"visual";"id40";90;1;31;12;1.74996551597986;3.22806;7.219143;572.55626748822;1248;FALSE
"visual";"id122";45;1;23;8;2.14455604697901;6.59389;4.89341;599.758062391621;2037;FALSE
"visual";"id127";90;1;29;11;1.95705104441701;6.484324;8.54206;497.331139768912;2078;FALSE
"mental";"id105";135;1;31;12;0.898927824471306;2.3978;4.5808137;202.132075376473;2421;FALSE
"visualStop";"id60";180;1;15;4;1.86299994377044;5.7466;6.60214;191.950098415054;3476;FALSE
"visualStop";"id62";135;1;21;7;3.35233006633142;12.36422;7.56507;517.556667842578;2497;FALSE
"mental";"id42";180;1;15;4;2.93454194175731;6.70566;13.45419;548.922404008619;4674;FALSE
"mental";"id37";90;1;31;12;0.684956768380492;3.7259;3.42139;755.808155243433;1227;FALSE
"mental";"id86";45;1;17;5;2.01165163943233;4.4639;6.48948;152.048268977105;1840;FALSE
"visualStop";"id120";45;1;11;2;1.48603425340695;6.42373;2.68164;440.340748774435;1224;FALSE
"visual";"id75";90;1;15;4;3.95865818642951;13.0906;8.42416;732.195901441399;1929;FALSE
"mental";"id27";90;1;17;5;2.08246390093951;5.5909;7.87868;196.532771053251;2657;FALSE
"visualStop";"id86";45;1;15;4;1.34970319122313;2.4929;4.46695;158.26437485095;1581;FALSE
"mental";"id15";180;1;9;1;2.6109114385014;8.07853;9.4307;594.736053514236;5585;FALSE
"visualStop";"id19";45;1;29;11;1.39731822615465;1.2429;4.912773;251.36713598979;910;FALSE
"visualStop";"id120";180;1;27;10;1.0620962776571;3.87227;3.78029;452.161253687771;1386;FALSE
"visualStop";"id68";135;1;23;8;1.5537302158569;3.8498;6.146688;371.551706418497;2140;FALSE
"visual";"id149";45;1;31;12;1.07158882834791;3.7255;5.1493;663.21457194996;1074;FALSE
"mental";"id33";180;1;21;7;1.65001776924774;5.6415;6.63701;559.75049415563;1727;FALSE
"visualStop";"id102";180;1;29;11;3.05252129470238;3.92327;11.47555;212.161347345806;1149;FALSE
"mental";"id17";135;1;15;4;1.88041278562446;8.1443;6.75206;489.180593506152;3258;FALSE
"mental";"id82";180;1;9;1;2.76383963018795;10.3065;7.65726;495.344114703798;2033;FALSE
"mental";"id66";90;1;13;3;2.30307502824223;5.5197;9.82347;269.281920946201;1681;FALSE
"mental";"id70";135;1;29;11;8.25113952359423;26.92821;27.16206;677.475905071556;2013;FALSE
"visual";"id25";180;1;15;4;3.28883871296795;5.9029;13.28263;274.625873153325;3146;FALSE
"mental";"id138";45;1;21;7;2.17820739661244;4.1167;10.307287;750.296648259782;1483;FALSE
"visualStop";"id25";90;1;21;7;3.18469294697966;10.9019;4.3593;272.185582786954;1614;FALSE
"visualStop";"id35";45;1;13;3;2.25978285548098;7.5147;8.06896;697.707966046575;2471;FALSE
"mental";"id17";90;1;17;5;1.7970557811686;3.9037;6.57254;495.741628454275;2330;FALSE
"mental";"id147";135;1;19;6;1.29353553473568;3.3734;5.76191;318.638045833221;1890;FALSE
"visual";"id77";135;1;23;8;3.13506330171443;7.4138;11.37581;544.690058673676;4199;TRUE
"visualStop";"id144";180;1;23;8;1.80745557660831;5.2527;4.16317;234.803631482009;2612;FALSE
"visualStop";"id25";135;1;9;1;1.94385801012455;4.6308;7.15668;292.335930992351;2126;FALSE
"mental";"id85";90;1;11;2;2.76459310728234;10.2513;10.911838;848.718830310449;4727;FALSE
"mental";"id49";135;1;23;8;3.71786982304318;10.66382;10.896956;590.570987789687;2233;FALSE
"visualStop";"id40";180;1;11;2;1.4779994781163;4.9935;6.66966;571.323463838374;1775;FALSE
"visualStop";"id50";180;1;25;9;1.16630853124753;2.3623;4.60186;261.307325572436;1870;FALSE
"mental";"id108";45;1;25;9;1.40075283288324;5.0381;4.98884;610.180661008109;1232;FALSE
"visual";"id121";90;1;19;6;3.99074635184844;7.4481;14.09839;292.814808724063;1946;FALSE
"visualStop";"id120";135;1;19;6;2.02847230687165;5.228116;9.63354;436.974661905622;1371;FALSE
"visual";"id34";90;1;27;10;1.03935959568401;3.44566;3.857086;238.676076985675;2398;FALSE
"visualStop";"id146";180;1;17;5;6.28397790036933;17.25423;17.35469;243.373460290144;4921;FALSE
"visual";"id25";45;1;25;9;1.04597577598713;4.9759;2.36454;277.568432274982;1303;FALSE
"mental";"id10";180;1;29;11;1.28398592780402;3.7698;4.4851;296.620585873144;2632;FALSE
"mental";"id87";45;1;25;9;2.70973823977558;8.5736;7.85943;692.526122182676;3663;FALSE
"visual";"id95";180;1;11;2;1.97615969144429;5.0907;6.48057;242.176903947334;2532;FALSE
"visualStop";"id136";135;1;11;2;112.741641723659;285.143;262.295;8559.9485753628;2390;FALSE
"mental";"id13";180;1;19;6;5.4219322218687;10.3317;24.48598;177.320694855549;6090;FALSE
"visualStop";"id37";45;1;25;9;1.43737643200259;4.2296;7.03586;743.924580758811;1241;FALSE
"visualStop";"id18";90;1;25;9;2.71015028393874;4.6994;9.12095;445.782349708364;1482;FALSE
"visual";"id118";45;1;13;3;3.32156378355244;5.7453;12.48126;257.839256799176;1596;FALSE
"visualStop";"id56";45;1;27;10;3.2604550063661;9.9126;12.2151;500.235058492936;3611;TRUE
"visualStop";"id85";180;1;17;5;3.87523119420373;6.331;15.35884;810.408094868546;2777;FALSE
"mental";"id73";135;1;29;11;1.66007266400808;3.34802;5.1666216;170.983563141087;2009;FALSE
"visualStop";"id26";135;1;19;6;2.63470053002212;7.51547;12.80027;752.83523348876;1931;FALSE
"mental";"id102";180;1;19;6;1.55254706661294;4.911228;5.58559;227.78399110074;2258;FALSE
"visualStop";"id23";90;1;13;3;1.78518228575013;4.1393;7.2858;661.923741720772;1326;FALSE
"visual";"id120";45;1;9;1;2.23078051270295;3.94854;9.42426;457.99164383528;1788;FALSE
"mental";"id103";135;1;25;9;2.10424282051009;5.1056;6.80021;549.607313008564;1390;FALSE
"mental";"id143";135;1;13;3;3.72678777387896;8.40444;12.37082;422.964572715633;2528;FALSE
"mental";"id2";90;1;21;7;2.85705779641623;6.6238;12.55734;633.601490537792;2308;FALSE
"mental";"id53";45;1;19;6;2.20036816873102;3.8577;8.73795;673.757967045445;2188;FALSE
"visualStop";"id76";45;1;29;11;0.543172855164577;1.7081;1.08667;667.970105304022;17;TRUE
"visualStop";"id62";135;1;27;10;2.22731417290874;5.59552;8.46572;539.177251210904;1576;FALSE
"mental";"id81";135;1;27;10;1.72005206949233;5.3562;6.87314;555.353771180709;3100;FALSE
"mental";"id104";180;1;31;12;0.574920060744801;2.1954;2.4001;264.237168191676;1592;FALSE
"visualStop";"id44";45;1;13;3;0.998584342349806;3.1675;4.60414;529.52164935877;1177;FALSE
"visualStop";"id105";135;1;29;11;2.13438577783262;5.62479999999999;6.1607;198.344941051065;3242;FALSE
"mental";"id108";180;1;23;8;1.53924661259187;3.1643;6.83568;630.069712932716;1823;FALSE
"visualStop";"id21";90;1;29;11;2.18960986189899;4.5802;6.9306;202.340663121574;1723;FALSE
"visual";"id128";180;1;31;12;1.63850606347506;6.9171;7.7369;503.03667853623;2742;FALSE
"mental";"id69";135;1;13;3;1.97368702954952;6.0883;5.52707;282.268299976922;2350;FALSE
"visual";"id63";135;1;17;5;5.40649546168218;13.34639;15.29745;518.712670978701;3036;FALSE
"visualStop";"id7";45;1;31;12;1.81130531402613;6.35;5.61413;553.387651913663;1885;FALSE
"visual";"id136";135;1;19;6;7.22946730067923;17.33804;17.8403;442.270046610445;2610;FALSE
"visual";"id85";90;1;29;11;2.23755866592046;6.6775;9.104757;836.430351567009;1945;FALSE
"visualStop";"id78";90;1;25;9;2.73286731402168;6.7375;8.3812;714.209494566955;1473;FALSE
"mental";"id127";135;1;25;9;1.43058229162342;5.72692;5.28322;501.824877443958;2255;FALSE
"visualStop";"id131";180;1;21;7;0.749724397455785;3.1391;3.6581;474.636556701278;2075;FALSE
"visualStop";"id92";180;1;25;9;4.19506150880481;10.8288;9.3275;202.181652667891;2494;FALSE
"visual";"id104";180;1;27;10;0.956785941019875;3.6076;2.753457;232.54029981824;1581;FALSE
"visualStop";"id9";180;1;11;2;1.23804904722937;2.2681;4.79997;192.666419097499;1423;FALSE
"visual";"id27";45;1;11;2;2.65313983035248;6.8011;6.205802;214.770185251845;2048;FALSE
"visual";"id97";45;1;11;2;0.95911420047588;4.3643;4.69866;774.602174286994;1293;FALSE
"visualStop";"id134";45;1;13;3;1.06582355470491;2.3796;3.9814;214.999286223813;1231;FALSE
"mental";"id1";180;1;29;11;3.18001287759748;9.6052;7.67868;471.697958640534;1805;FALSE
"visualStop";"id118";180;1;11;2;2.63481298729846;9.4168;5.2895;228.410742837199;2103;FALSE
"mental";"id123";45;1;25;9;1.41737062667895;3.5498;7.72371;651.792383853545;1327;FALSE
"visualStop";"id51";45;1;13;3;1.25840486018172;5.3051;5.71345;554.507508991289;1837;FALSE
"visualStop";"id59";180;1;17;5;3.7298640169069;6.85488;14.13103;535.810568971106;2310;FALSE
"visualStop";"id121";135;1;17;5;3.12732082749228;5.7854;9.50331;272.400114780316;1607;FALSE
"visual";"id107";45;1;11;2;1.16892726305357;3.9034;4.6798;538.483354678009;1183;FALSE
"mental";"id104";45;1;29;11;1.2097687008656;3.1556;3.32158;236.407586253779;974;FALSE
"visualStop";"id53";180;1;21;7;1.18177183614719;4.88330000000001;5.75961;759.51844772275;2352;FALSE
"visualStop";"id53";90;1;17;5;4.07084364940456;5.1726;16.71417;697.707034990818;2259;FALSE
"visual";"id100";180;1;13;3;3.00947010199775;13.9799;6.7984938;838.21387157494;3559;FALSE
"visual";"id150";45;1;21;7;4.12942790317198;6.9145;12.3224;306.851452465127;1709;FALSE
"visual";"id116";90;1;9;1;1.76294419447824;9.4594;7.0331;777.33566433205;3048;FALSE
"visualStop";"id54";90;1;9;1;1.80276725273745;6.003;6.898751;644.209206669221;2345;FALSE
"mental";"id122";90;1;25;9;0.873829435686028;4.05666;3.36541;601.022136428913;3190;FALSE
"visual";"id39";90;1;19;6;1.61476974190609;6.5721;6.21096;752.845357820909;1015;FALSE
"mental";"id72";45;1;13;3;2.53867894153865;7.0629;10.94149;664.804132612052;3865;FALSE
"visualStop";"id77";90;1;19;6;2.64883532665157;5.7584;11.91098;554.930082141173;2750;FALSE
"visual";"id122";180;1;29;11;1.6640879114099;6.6125;7.3255;595.892208404865;2866;FALSE
"mental";"id28";45;1;17;5;1.23415413604677;3.1793;3.4984;197.641345755688;2138;FALSE
"mental";"id102";180;1;21;7;4.27543967318488;6.2137;11.95162;220.953483443001;1661;FALSE
"visualStop";"id3";135;1;13;3;2.11936272259264;7.5154;7.94486;728.396235390099;4034;FALSE
"visualStop";"id146";135;1;19;6;5.39670414091174;18.41816;11.99659;236.836513091942;2854;FALSE
"visualStop";"id41";180;1;27;10;1.49254235880834;4.1049;4.76154;158.734566678025;2275;FALSE
"mental";"id31";135;1;29;11;1.45661073674644;5.2725;6.01699;710.234493286598;1148;FALSE
"visual";"id125";180;1;13;3;1.93062399835284;7.9686;4.2521;421.775045750149;2989;FALSE
"visual";"id62";90;1;17;5;0.895255999098118;4.1987;3.1041;525.306802172238;2155;FALSE
"mental";"id104";135;1;29;11;0.677022226431537;2.1123;2.544909;225.607020448794;1351;FALSE
"visual";"id130";135;1;19;6;3.66794112631318;13.5231;9.99149;681.508722270546;2756;FALSE
"visual";"id4";135;1;19;6;1.32197632479198;5.1976;5.67723;724.451136621441;2952;FALSE
"visualStop";"id62";135;1;27;10;1.23118717634521;4.24099;4.7593;546.271476681549;2608;FALSE
"visual";"id43";135;1;21;7;2.70284115850296;3.7559;13.04888;523.431147397113;2256;FALSE
"visualStop";"id108";180;1;31;12;2.80234902536654;8.10085;8.52834;618.62794643476;1717;FALSE
"mental";"id138";180;1;13;3;1.70137154766606;4.7128;8.37011;717.706905352294;2142;FALSE
"mental";"id17";90;1;29;11;1.86042860338869;6.4231;6.318;504.604593223516;1495;FALSE
"visualStop";"id62";45;1;15;4;0.805350959826966;3.0534;3.6016;496.61132564307;1314;FALSE
"visualStop";"id76";180;1;25;9;2.28149269852579;5.0951;13.09026;681.169629638032;2602;FALSE
"mental";"id132";135;1;25;9;3.11006487480231;12.306293;9.04483;485.473691262665;2558;FALSE
"mental";"id142";180;1;19;6;1.47046565972605;4.9213;4.55272;256.262682577145;1175;FALSE
"visual";"id2";90;1;15;4;1.79593096920492;8.9802;3.43869;639.415952746207;1614;FALSE
"visualStop";"id31";180;1;17;5;1.30949666876003;3.686;6.89256;726.305485200212;1722;FALSE
"visual";"id142";135;1;27;10;0.773550364401448;2.3777;3.505624;335.574685106243;1150;FALSE
"visual";"id98";45;1;11;2;3.35343900290853;8.4914;16.552174;541.839278879794;4785;TRUE
"visualStop";"id142";90;1;13;3;1.21260773762345;5.334;3.241817;318.277326642248;1559;FALSE
"visual";"id71";135;1;29;11;2.23756983841093;3.5124;8.91151;234.217832920898;3114;FALSE
"visual";"id134";90;1;29;11;1.38064723721036;4.4603;3.77706;222.353110247471;1077;FALSE
"visual";"id38";90;1;19;6;1.83172537010204;4.5556;6.77208;234.837479557268;2539;FALSE
"mental";"id97";90;1;29;11;1.39776775581785;5.0095;5.42357;748.414466109305;1161;FALSE
"visualStop";"id96";45;1;23;8;1.21744591005364;4.2254;5.3211;685.46012940224;1015;FALSE
"visual";"id81";180;1;25;9;1.40905687890654;4.1323;6.21141;574.471297656345;2946;FALSE
"visual";"id47";135;1;19;6;1.71344390806355;4.5016;6.75531;640.628697508823;2004;FALSE
"visualStop";"id44";45;1;25;9;0.997834400774751;3.1418;4.81148;557.423757243232;1162;FALSE
"visualStop";"id137";45;1;19;6;3.06522968106413;10.63688;7.24426;541.430741021065;1750;FALSE
"mental";"id118";180;1;19;6;3.01819180786568;8.9578;5.60865;256.950739627755;2361;FALSE
"visualStop";"id42";180;1;31;12;2.1250122556474;7.468;6.860685;548.58087749075;2917;FALSE
"visual";"id27";45;1;15;4;2.83821989699502;5.3152;11.21591;229.194884106242;1780;FALSE
"visual";"id85";180;1;9;1;3.1813829650212;6.16419999999999;13.78531;819.128032160489;2446;FALSE
"visualStop";"id5";90;1;15;4;1.35154235270336;4.8861;6.305759;883.663109156971;2208;FALSE
"visual";"id75";135;1;13;3;1.35872407972245;4.3697;5.56185;740.395820289534;2019;FALSE
"visualStop";"id61";180;1;31;12;2.73815331388838;6.2232;8.76516;230.152193733716;3503;FALSE
"visual";"id49";135;1;27;10;0.986018968960345;3.7536;3.901946;588.641139107846;1423;FALSE
"mental";"id41";135;1;21;7;1.0163027456822;6.7123;2.89523;170.707734445625;3551;FALSE
"mental";"id138";45;1;13;3;1.99742046664925;4.1208;8.32165;686.958479239588;1622;FALSE
"visual";"id15";90;1;13;3;3.03702803573099;9.192912;9.66206;579.159114361812;2111;FALSE
"visual";"id12";90;1;31;12;2.81020530397171;10.5828;8.32324;562.702757995602;1318;FALSE
"visualStop";"id105";135;1;9;1;1.21460360954165;2.6592;5.472297;241.669697657446;2630;FALSE
"visualStop";"id52";180;1;25;9;2.95463239764263;5.19;16.98593;203.590378863903;3710;FALSE
"mental";"id63";45;1;29;11;2.21273987266637;6.59867;5.55;543.220341743735;1391;FALSE
"visual";"id12";90;1;15;4;2.08518133810684;5.1451;6.514491;570.487798235877;1465;FALSE
"visualStop";"id75";45;1;25;9;1.94211324128496;4.5924;8.875907;753.399325536985;1337;FALSE
"visualStop";"id62";45;1;21;7;1.50954130505345;4.77063;5.18373;539.61539876006;1250;FALSE
"visualStop";"id19";135;1;23;8;1.83304981634197;6.0519;5.16615;283.539667692083;1568;FALSE
"visualStop";"id52";180;1;25;9;8.53492314161328;16.0848;24.29324;181.399897028918;2553;FALSE
"visual";"id34";45;1;31;12;1.43126978563898;3.24054;4.6343;242.666099343416;1243;FALSE
"visualStop";"id143";180;1;23;8;1.91020977866177;6.548;4.99307;428.992605178213;2789;FALSE
"visualStop";"id117";45;1;11;2;3.26895153334303;13.6352;4.809802;545.837486714554;1856;FALSE
"visualStop";"id29";90;1;25;9;1.88913553139592;5.5218;7.69754;601.004332385094;2280;FALSE
"visual";"id135";180;1;17;5;2.82354179331489;9.4231;8.07401;642.398688719009;2734;FALSE
"visual";"id33";180;1;29;11;1.57092443740363;5.4772;5.07984;556.812950899834;1579;FALSE
"visual";"id8";90;1;9;1;2.68571984747174;8.8596;12.7104;540.667827548706;2523;FALSE
"visualStop";"id22";180;1;31;12;2.25655196712186;6.7688;9.21003;701.080320449301;1539;FALSE
"visualStop";"id105";45;1;29;11;0.653298262684564;1.9524;2.85817;235.560123495321;1753;FALSE
"visual";"id115";45;1;9;1;2.37065014767684;10.5495;6.24312;860.812592035793;1752;FALSE
"mental";"id109";90;1;21;7;4.20247642675564;9.6299;14.04117;285.399687932218;3396;FALSE
"mental";"id10";135;1;29;11;1.34249871488807;1.8211;5.6645;261.629362187644;1721;FALSE
"visual";"id44";45;1;31;12;1.09052727280136;5.1146;4.40047;522.531239020853;936;FALSE
"mental";"id34";45;1;25;9;2.92739647950191;7.4178;6.14073;236.763708182803;1733;FALSE
"visualStop";"id103";45;1;21;7;1.9497647207835;3.37107;10.17068;499.161859139963;1320;FALSE
"visualStop";"id27";45;1;25;9;2.54546148709165;4.49250000000001;10.72447;213.05041607858;3087;TRUE
"visualStop";"id59";45;1;25;9;3.24170233474644;6.27934;9.32122;546.769523827362;1157;FALSE
"visualStop";"id44";90;1;21;7;2.65665176461208;7.1853;7.769549;545.062569958979;1764;FALSE
"visualStop";"id101";180;1;27;10;4.13149388694668;6.2216;15.063245;569.767356823614;2227;FALSE
"mental";"id89";90;1;23;8;1.59118866762414;3.9992;8.413911;498.924886136588;2252;FALSE
